artist_name,wiki_nationality,wiki_artist_start_date
"NUNO RIBEIRO, CALEMA, MARIZA",Unknown,
J Balvin ,Colombia,2007-01-01
"Alicia Keys, Bono",Ireland,1976-01-01
MELIM,Unknown,2015-01-01
DURAN DURAN,Unknown,1978-01-01
David Archuleta,United States,2003-01-01
TRIBALISTAS,Unknown,2002-01-01
"H.E.R., Bryson Tiller",United States,2011-01-01
J. BALVIN feat. KHALID,United States,2007-01-01
"Fernando Daniel, Melim",Portugal,2014-01-01
Tommy Richman,United States,2000-03-21
"Nelly, Jahiem",Unknown,
Tate McRae,Canada,2013-01-01
DILLAZ,Portugal,1991-05-05
"Jorja Smith, Preditah",United Kingdom,2016-01-01
Travis Scott,United States,2008-01-01
IVANDRO FEAT. VAN ZEE,Portugal,2012-01-01
Vanessa Carlton,United States,2001-01-01
Glass Animals,Unknown,2010-01-01
"Flo Rida, David Guetta",Unknown,
ARTEMAS,United Kingdom,2019-01-01
CALVIN HARRIS x RAG N BONE MAN,Unknown,
"KYGO, CONRAD",Norway,2009-01-01
Alessia Cara,Italy,2014-07-01
t-rex,Unknown,
Os Quatro e Meia,Unknown,
PEDRO MÁFAMA,Portugal,1979-09-17
Noah Kahan,United States,2016-01-01
HMB,Unknown,
MIZZY MILES feat. DEEJAY TELIO & TETO & GSON,Unknown,
ANA CASTELA & AGROPLAY,Brazil,2003-11-16
MR BIG,Unknown,
Frank Ocean,United States,2005-01-01
"Eminem, Dido",United Kingdom,1995-01-01
Klepht,Unknown,
Rauw Alejandro,United States,2014-01-01
Dua Lipa,United Kingdom,2014-01-01
NENA,Germany,1978-01-01
"HUGEL, TOPIC, ARASH",Unknown,
Tiesto,Kingdom of the Netherlands,1994-01-01
MIKE 11 ft. D.A.M.A.,United States,1975-08-14
GLASS ANIMALS,Unknown,2010-01-01
IVANDRO FEAT. JULINHO KSD,Unknown,
DEEJAY RIFOX x TIA VIVIX,Unknown,
"ZERB, SOFIYA NZAU",Kenya,2000-01-01
KEANE,Unknown,
Sade,France,1740-06-02
Magic!,Unknown,
"Pitbull, Ne-Yo",Unknown,
NELLY [+] KELLY ROLAND,Unknown,
NOAH KAHAN,United States,2016-01-01
vasco palmeirim,Portugal,1979-08-29
Dermot Kennedy,Ireland,2015-01-01
Charli XCX,United Kingdom,2007-01-01
Pink,Unknown,
"H.E.R., Daniel Caesar",Unknown,2014-01-01
Kevin o Chris,Brazil,1996-12-05
DA WEASEL,Unknown,1993-01-01
MILEY CYRUS,United States,2001-01-01
"Mary J. Blige, U2",Unknown,
Thirty Seconds to Mars,Unknown,1998-01-01
Kappa Jotta,Portugal,2013-01-01
Green Day,Unknown,1982-01-01
"João Pedro Pais, Mafalda Veiga",Portugal,1997-01-01
JULINHO KSD,Unknown,
Nelly Furtado,Canada,1996-01-01
COLDPLAY,Unknown,1997-01-01
IMAGINE DRAGONS,Unknown,2008-01-01
CALEMA,Unknown,2011-01-01
NELLY,United States,2000-01-01
Adam Port,Unknown,
Carolina de Deus,Unknown,
NATIRUTS [+] MONICA FERRAZ,Unknown,
"B.o.B., Bruno Mars",Unknown,
Dove Cameron,United States,2012-01-01
HUGEL x TOPIC x ARASH feat. DAECOLM,Unknown,
"TYLA, GUNNA & SKILLIBENG",Unknown,
"Lost Frequencies, Calum Scott",Unknown,
Giulia Be,Brazil,2018-01-01
GAVIN JAMES,Unknown,
Elas,Unknown,
BÁRBARA BANDEIRA,Portugal,2011-01-01
KAPO,Unknown,
Gnarls Barkley,Unknown,2003-01-01
MATUE feat. RICH THE KID,Brazil,2015-01-01
"Duncan Laurence, Fletcher",Kingdom of the Netherlands,2014-01-01
Addison Rae,United States,2019-01-01
ANNE-MARIE FEAT. SHANIA TWAIN,Unknown,
TREZE,Unknown,
Bryan Adams,Canada,1975-01-01
"Craig David, Sting",Unknown,
MADONNA,United States,1979-01-01
PROFJAM,Portugal,1991-06-05
COLBIE CAILLAT,United States,2007-01-01
