track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres
Counting Stars,OneRepublic,Native,2013-01-01,257265,85,piano rock
GRENADE,BRUNO MARS,Doo-Wops & Hooligans,2010-05-11,222091,76,dance pop
Million Dollar Baby,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,155151,89,chill abstract hip hop
Força (Uma Página de História),Da Weasel,Re-Definições,2004-06-11,174160,40,hip hop tuga
"Good Luck, Babe!",Chappel Roan,"Good Luck, Babe!",2024-04-05,218423,94,indie pop
DAKITI,BAD BUNNY & JHAY CORTEZ,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,205090,76,reggaeton
So Sick,Ne-Yo,In My Own Words,2006-01-01,207186,78,dance pop
UNFORGETTABLE,FRENCH MONTANA feat. SWAE LEE,Unforgettable (feat. Swae Lee) [Latin Remix],2017-07-31,214000,45,hip hop
Demons,Imagine Dragons,Night Visions,2012-09-04,175200,73,modern rock
Dirty,"Jessie Murph, Teddy Swims",That Ain't No Man That's The Devil,2024-09-06,173361,69,modern country pop
Empire State of Mind,"Jay Z, Alicia Keys",The Blueprint 3,2009-09-08,276920,80,east coast hip hop
DANCE THE NIGHT,DUA LIPA,Dance The Night (From Barbie The Album),2023-05-25,176579,80,dance pop
MERCY,SHAWN MENDES,Illuminate (Deluxe),2017-04-20,208733,78,canadian pop
Cheap Thrills,Sia,This Is Acting (Deluxe Version),2016-10-21,211666,67,pop
MY LOVE MINE ALL MINE,MITSKI,The Land Is Inhospitable and So Are We,2023-09-15,137773,88,brooklyn indie
Chamada não atendida,Bárbara Tinoco,Bichinho,2023-04-21,207173,49,portuguese pop
Melhor de Mim,Mariza,Mundo,2016-09-09,246813,21,fado
The Reason,Hoobastank,The Reason (20th Anniversary),2024-01-12,232800,79,alternative metal
TEXAS HOLD 'EM,Beyoncé,COWBOY CARTER,2024-03-29,233456,73,pop
Se Eu Não Te Amasse tanto Assim,Ivete Sangalo,Ivete Sangalo,1999-01-01,249440,48,arrocha
Con Altura,Rosalía,Con Altura,2019-03-28,161626,70,pop
SOMETIMES,JULINHO KSD,Sometimes,2024-09-13,240000,48,hip hop tuga
Out of Reach,Gabrielle,Rise,2001-01-01,196986,65,british soul
Speed of Sound,Coldplay,X&Y,2005-06-07,287906,71,permanent wave
CRAZY,GNARLS BARKLEY,St. Elsewhere,2006-05-02,182066,71,atl hip hop
Era Noite De Lua Cheia,Luís Trigacheiro,Era Noite de Lua Cheia,2024-05-09,226088,34,fado
BE ALRIGHT,JOEL CORRY,Be Alright,2024-10-25,155697,51,dance pop
AMIGOS COLORIDOS,BANDIDOS DO CANTE,Amigos Coloridos,2024-07-12,224478,45,""
MILLION DOLLAR BABY,TOMMY RICHMAN,MILLION DOLLAR BABY,2024-04-26,155151,89,chill abstract hip hop
Diet Pepsi,Addison Rae,Diet Pepsi,2024-08-09,169697,88,social media pop
CORACAO,JURA,sortaminha,2024-05-16,163111,19,portuguese pop
Always,Gavin James,Only Ticket Home,2018-10-26,247842,41,irish pop
UNWRITTEN,NATASHA BEDINGFIELD,Unwritten,2004-08-30,259333,86,dance pop
CELESTIAL,ED SHEERAN,Celestial,2022-09-29,209026,67,pop
The Nights,Avicii,The Days / Nights,2014-01-01,176658,82,dance pop
BEAUTIFUL THINGS,BENSON BOONE,Fireworks & Rollerblades,2024-04-05,180304,89,singer-songwriter pop
