radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-27,05:46:00.000000000,O Teu Cheiro,Bispo
Rádio Comercial,2024-10-27,05:43:00.000000000,Hymn for the Weekend,"Coldplay, Beyoncé"
Rádio Comercial,2024-10-27,05:39:00.000000000,Chakras,"Ivandro, Julinho Ksd"
Rádio Comercial,2024-10-27,05:37:00.000000000,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,05:33:00.000000000,Who Knew,Pink
Rádio Comercial,2024-10-27,05:29:00.000000000,Onde Vais,"Bárbara Bandeira, Carminho"
Rádio Comercial,2024-10-27,05:26:00.000000000,Bam Bam,"Camila Cabello, Ed Sheeran"
Rádio Comercial,2024-10-27,05:23:00.000000000,Whatever It Takes,Imagine Dragons
Rádio Comercial,2024-10-27,05:20:00.000000000,Bom Dia,"Bluay, Irina Barros"
Rádio Comercial,2024-10-27,05:16:00.000000000,Amigos,"Pablo Alborán, Maria Becerra"
Rádio Comercial,2024-10-27,05:12:00.000000000,Cry Me a River,Justin Timberlake
Rádio Comercial,2024-10-27,05:08:00.000000000,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-27,05:04:00.000000000,One Kiss,"Calvin Harris, Dua Lipa"
Rádio Comercial,2024-10-27,05:01:00.000000000,Dancing In the Flames,The Weeknd
Rádio Comercial,2024-10-27,04:58:00.000000000,Where Are You Now,"Lost Frequencies, Calum Scott"
Rádio Comercial,2024-10-27,04:55:00.000000000,So What,Pink
Rádio Comercial,2024-10-27,04:52:00.000000000,Planeta,"Bispo, Bárbara Tinoco"
Rádio Comercial,2024-10-27,04:48:00.000000000,Close To You,Gracie Abrams
Rádio Comercial,2024-10-27,04:46:00.000000000,Tradição,S. Pedro
Rádio Comercial,2024-10-27,04:42:00.000000000,The Lazy Song,Bruno Mars
Rádio Comercial,2024-10-27,04:39:00.000000000,Amigos Coloridos,Bandidos do Cante
Rádio Comercial,2024-10-27,04:35:00.000000000,Another Perfect Day,American Hi-Fi
Rádio Comercial,2024-10-27,04:31:00.000000000,Take Me to Church,Hozier
Rádio Comercial,2024-10-27,04:28:00.000000000,Sometimes,Julinho Ksd
Rádio Comercial,2024-10-27,04:24:00.000000000,What Do You Believe In,Rag'n'Bone Man
Rádio Comercial,2024-10-27,04:21:00.000000000,All For You,"Cian Ducrot, Ella Henderson"
Rádio Comercial,2024-10-27,04:17:00.000000000,Os Maridos das Outras,Miguel Araújo
Rádio Comercial,2024-10-27,04:14:00.000000000,Houdini,Dua Lipa
Rádio Comercial,2024-10-27,04:11:00.000000000,I'm Not the only One,Sam Smith
Rádio Comercial,2024-10-27,04:07:00.000000000,Maria Joana,"Nuno Ribeiro, Mariza, Calema"
Rádio Comercial,2024-10-27,04:03:00.000000000,A Million Dreams,Pink
Rádio Comercial,2024-10-27,04:00:00.000000000,The Door,Teddy Swims
Rádio Comercial,2024-10-27,03:57:00.000000000,Ghost,Justin Bieber
Rádio Comercial,2024-10-27,03:54:00.000000000,Party Rock Anthem,"LMFAO, Lauren Bennett , Goonrock"
Rádio Comercial,2024-10-27,03:51:00.000000000,Cidade,"Bárbara Tinoco, Bárbara Bandeira"
Rádio Comercial,2024-10-27,03:47:00.000000000,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-27,03:44:00.000000000,Capicuas,Rita Rocha
Rádio Comercial,2024-10-27,03:41:00.000000000,Impossible,James Arthur
Rádio Comercial,2024-10-27,03:38:00.000000000,Força (Uma Página de História),Da Weasel
Rádio Comercial,2024-10-27,03:34:00.000000000,All My Love,Coldplay
Rádio Comercial,2024-10-27,03:30:00.000000000,Beggin',Madcon
